No.,fomula,Oct1,,,,Oct2,,,,Oct3,,,,Oct4,,,,Oct5,,,,Oct6,,,,Oct7,,,,Oct8,,,
,,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion
1,C8H48Cl24Ge8N8,5.589245086096784,12.165813095597388,0.032443188040874205,-0.07154133776616556,5.589245086096784,12.165812740803027,0.03244326831256972,-0.0715413399169691,5.589245086096784,12.165813095597388,0.032443188040874205,-0.07154132174124594,5.589245086096784,12.165812740803027,0.03244326831256972,-0.07154132389205081,5.589245086096784,12.165820006099255,0.03244320620054664,-0.07154132914201217,5.589245086096784,12.165819651304714,0.032443286472241706,-0.07154133129281792,5.589245086096784,12.165820006099354,0.03244320620054664,-0.07154131311709255,5.589245086096784,12.16581965130479,0.032443286472241706,-0.07154131526789831
2,C8H48Br24Ge8N8,2.3770080626247534,13.399985215471204,0.1309048685223746,0.10710803085226894,2.377008062624918,13.399987296835704,0.13090451432020034,0.1071080568000311,2.3770080626247534,13.399984990239563,0.13090486784289057,0.10710786026975772,2.377008062624918,13.399987071603961,0.1309045136407163,0.10710788621752076,2.3770080626247534,13.399999426452666,0.1309049113678502,0.10710804241709493,2.377008062624918,13.40000150781933,0.1309045571656835,0.10710806836485887,2.3770080626247534,13.399999201221254,0.13090491068836618,0.10710787183458503,2.377008062624918,13.400001282587917,0.13090455648619903,0.10710789778234986
3,C8H48Ge8I24N8,4.6263701650044595,12.092521972514978,0.3796433184717505,0.24264744745692646,4.626370165004549,12.092522802922488,0.3796432292717049,0.2426475252945841,4.626370165004471,12.092528406357088,0.3796433372571588,0.2426474474569238,4.626370165004549,12.092529236765081,0.3796432480571146,0.2426475252945819,4.626370165004471,12.092523895805428,0.3796433240898369,0.24264744023748896,4.626370165004549,12.092524726213066,0.37964323488979224,0.24264751807514573,4.626370165004471,12.092530329646442,0.3796433428752457,0.24264744023748586,4.626370165004549,12.092531160054588,0.3796432536752019,0.2426475180751435
4,C8H48Cl24N8Sn8,4.397960613385031,11.152270594673002,0.09406155114557224,-0.007099692392873891,4.397960613385114,11.15227176741654,0.09406124610665278,-0.007099686977661612,4.397960613385031,11.152270594673002,0.09406155114557224,-0.007099524651386524,4.397960613385114,11.15227176741654,0.09406124610665278,-0.007099519236176022,4.397960613385031,11.152277327613382,0.09406156797303744,-0.007099705498182285,4.397960613385114,11.152278500357552,0.09406126293411932,-0.007099700082968674,4.397960613385031,11.152277327613382,0.09406156797303744,-0.007099537756693586,4.397960613385114,11.152278500357552,0.09406126293411932,-0.007099532341480863
5,C8H48Br24N8Sn8,1.140660296271335,13.31424190817211,0.19182352688564963,0.17797353286397577,1.1406602962713315,13.314243345359687,0.19182317666837223,0.17797352111555975,1.140660296271335,13.314242014434443,0.1918235272151967,0.1779735328308547,1.1406602962713315,13.314243451621941,0.1918231769979193,0.1779735210824387,1.140660296271335,13.314234966875148,0.1918235053610844,0.177973532892572,1.1406602962713315,13.314236404062012,0.19182315514380432,0.177973521144156,1.140660296271335,13.314235073137505,0.191823505690631,0.1779735328594514,1.1406602962713315,13.314236510324367,0.19182315547335138,0.17797352111103493
6,C8H48I24N8Sn8,1.2441593793166692,8.878212050067285,0.36226006598962135,0.3222322147252603,1.2441593793169623,8.878211801646627,0.36226022026162363,0.3222322608377386,1.2441593793166692,8.878198406545147,0.36226003636154136,0.3222320357078021,1.2441593793169623,8.87819815812477,0.3622601906335441,0.3222320818202835,1.2441593793166692,8.878211433620065,0.36226006465105787,0.3222322151371504,1.2441593793169623,8.878211185199483,0.36226021892306015,0.3222322612496291,1.2441593793166692,8.878197790096934,0.36226003502297743,0.32223203611969264,1.2441593793169623,8.878197541676556,0.36226018929498016,0.3222320822321745
7,C8H48I24N8Pb8,0.32536315907054814,3.3735446597239718,0.35254772723180094,0.3586507582179972,0.32536315907055724,3.3735442539975318,0.35254811323827573,0.35865077417409363,0.32536315907054814,3.3735446597272287,0.3525477272318036,0.35865075823407677,0.32536315907055724,3.3735442540007887,0.3525481132382784,0.3586507741901732,0.32536315907054814,3.3735446597239718,0.35254772723180094,0.35865075821799675,0.32536315907055724,3.3735442539975318,0.35254811323827573,0.35865077417409363,0.32536315907054814,3.3735446597272287,0.3525477272318036,0.3586507582340772,0.32536315907055724,3.3735442540007887,0.3525481132382784,0.35865077419017277
8,C8H48Br24N8Pb8,0.4479777998959378,13.670466115167072,0.20801485823882127,0.19829606535324018,0.4479777998951197,13.670464446687218,0.20801522194276645,0.1982960614604532,0.4479777998959378,13.670466115167072,0.20801485823882127,0.1982962447865022,0.4479777998951197,13.670464446687218,0.20801522194276645,0.19829624089371567,0.4479777998959378,13.670459234692748,0.20801483612229488,0.19829606536704425,0.4479777998951197,13.670457566213784,0.20801519982624272,0.19829606147425727,0.4479777998959378,13.67045923469272,0.20801483612229488,0.19829624480030716,0.4479777998951197,13.670457566213784,0.20801519982624272,0.19829624090752018
9,C8H48Cl24N8Pb8,1.5886062293779082,10.974024566288461,0.07950906935272561,0.007012266934973699,1.5886062293781378,10.974024566288461,0.07950906935272561,0.007012266934974143,1.5886062293779082,10.974024566288461,0.07950906935272561,0.0070122667839385144,1.5886062293781378,10.974024566288461,0.07950906935272561,0.0070122667839389585,1.5886062293779082,10.974017892433148,0.07950905287416044,0.007012266934973699,1.5886062293781378,10.974017892433148,0.07950905287415999,0.007012266934973255,1.5886062293779082,10.97401789243312,0.07950905287416044,0.0070122667839385144,1.5886062293781378,10.97401789243312,0.07950905287415999,0.0070122667839385144
10,Cl24Cs8Ge8,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025,0.0,0.0,-0.2007069587750001,-0.20070600510000025
11,Br24Cs8Ge8,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974,0.0,0.0,-0.060565471649999925,-0.06056523322499974
12,Cs8Ge8I24,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002,0.0,0.0,0.13120794295000016,0.13120889662500002
